CITY,lat,lng
Delhi,28.61,77.23
Mumbai,19.0761,72.8775
Kolkata,22.5675,88.37
Bangalore,12.9789,77.5917
Chennai,13.0825,80.275
Hyderabad,17.385,78.4867
Pune,18.5203,73.8567
Ahmedabad,23.03,72.58
Surat,21.1702,72.8311
Prayagraj,25.4358,81.8464
Lucknow,26.85,80.95
Jaipur,26.9,75.8
Cawnpore,26.4499,80.3319
Mirzapur,25.146,82.569
Nagpur,21.1497,79.0806
Ghaziabad,28.67,77.42
Vadodara,22.3,73.2
Vishakhapatnam,17.7042,83.2978
Indore,22.7167,75.8472
Thane,19.1972,72.9722
Bhopal,23.25,77.4167
Chinchvad,18.6186,73.8037
Patna,25.6,85.1
Bilaspur,22.09,82.15
Ludhiana,30.91,75.85
Agra,27.18,78.02
Agwar,27.18,78.02
Madurai,9.9252,78.1198
Jamshedpur,22.7925,86.1842
Nasik,20,73.78
Faridabad,28.4167,77.3
Aurangabad,19.88,75.32
Rajkot,22.3,70.7833
Meerut,28.98,77.71
Jabalpur,23.1667,79.9333
Kalamboli,19.2333,73.1333
Vasai,19.47,72.8
Najafgarh,28.6092,76.9798
Varanasi,25.3189,83.0128
Srinagar,34.09,74.79
Dhanbad,23.7998,86.4305
Amritsar,31.64,74.86
Aligarh,27.88,78.08
Guwahati,26.1722,91.7458
Haora,22.58,88.3294
Ranchi,23.36,85.33
Gwalior,26.2215,78.178
Vijayawada,16.5193,80.6305
Chandigarh,30.75,76.78
Jodhpur,26.28,73.02
Raipur,21.25,81.63
Kota,25.18,75.83
New Delhi,28.6139,77.209
Bareilly,28.364,79.415
Coimbatore,11.0168,76.9558
Solapur,17.68,75.92
Trichinopoly,10.7903,78.7047
Moradabad,28.8389,78.7769
Tiruppur,11.1085,77.3411
Gurgaon,28.456,77.029
Jalandhar,31.2569,75.4432
Kalkaji Devi,28.5485,77.2513
Bhubaneshwar,20.27,85.84
Bhayandar,19.29,72.85
Mandvi,19.3,72.85
Patiala,30.34,76.38
Dhulia,20.8997,74.7697
Thiruvananthapuram,8.4875,76.9525
Bhiwandi,19.2967,73.0631
Saharanpur,29.964,77.546
Warangal,17.9689,79.5941
Shiliguri,26.71,88.43
Salem,11.65,78.15
Vellore,12.9165,79.1325
Kochi,9.97,76.28
Gorakhpur,26.7637,83.4039
Narela,28.8527,77.0929
Guntur,16.3008,80.4428
Rasulpur,28.57,77.32
Bhavnagar,21.76,72.15
Brahmapur,19.315,84.7941
Noida,28.57,77.32
Bhangar,22.58,88.42
Bhilai,21.3667,81.7167
Mangalore,12.902,74.8253
Bhilai,21.21,81.38
Nagercoil,8.1833,77.4119
Raurkela,22.2492,84.8828
Cuttack,20.5236,85.7881
Tumkur,13.34,77.1
Durgapur,23.55,87.32
Dehra Dun,30.345,78.029
Chapra,25.7848,84.7274
Asansol,23.68,86.99
Kolhapur,16.6917,74.2333
Nellore,14.45,79.99
Nanded,19.15,77.3
Ajmer,26.4499,74.6399
Amravati,20.9258,77.7647
Gulbarga,17.329,76.825
Bikaner,28.0167,73.3119
Agartala,23.8333,91.2833
Loni,28.75,77.28
Ujjain,23.17,75.79
Ulhasnagar,19.22,73.15
Bhilwara,25.35,74.63
Jhansi,25.4486,78.5696
Jammu,32.73,74.87
Purnea,25.778,87.476
Tinnevelly,8.7136,77.7567
Belgaum,15.85,74.5
Jamnagar,22.47,70.07
Gaya,24.75,85.01
Ambattur,13.1143,80.1548
Salt Lake City,22.61,88.4
Jalgaon,21.004,75.568
